"Category","Gene","sm_45_S1","sm_24_S2","sm_23_S3","sm_28_S4","sm_34_S1","sm_40_S2","sm_44_S3","sm_46_S4","sm_27_S1","sm_51_S2","sm_30_S3","sm_35_S4","sm_36_S1","sm_38_S2","sm_42_S3","sm_47_S4","sm_8_S2","sm_16_S3","sm_17_S4","sm_18_S1","sm_19_S2","sm_21_S3","sm_54_S4","sm_5_S1"
"ACME","arcA","0","9","0","8","0","0","0","0","16","2","2","0","0","0","0","2","0","0","0","0","0","0","0","4"
"ACME","arcB","0","17","6","0","0","0","0","4","16","4","0","0","0","0","0","1","0","0","0","16","2","0","0","6"
"ACME","arcC","0","42","12","16","0","0","0","0","16","27","0","0","8","0","0","0","0","0","0","28","6","0","0","14"
"ACME","arcD","0","53","14","19","0","0","0","0","18","24","0","0","8","0","0","0","0","6","0","22","16","0","0","30"
"ACME","argR","0","5","8","0","0","0","0","0","44","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ACME","tnp","0","4","4","8","0","0","0","0","4","11","1","0","0","2","0","0","0","0","1","2","1","0","0","0"
"Adhesion factors","sdrC","0","13","14","10","0","0","0","0","16","8","0","0","2","1","0","7","0","0","0","0","0","0","0","6"
"Adhesion factors","sdrD","2","1","4","10","0","0","0","0","14","4","0","0","2","5","0","2","0","0","0","0","0","0","0","0"
"Adhesion factors","sdrE","0","5","2","6","0","0","0","0","24","4","0","0","4","1","0","0","0","0","0","0","0","0","0","2"
"Clumping factor","clfA","0","106","23","35","0","0","0","0","46","56","0","0","20","0","2","0","0","0","0","2","0","2","0","1"
"Clumping factor","clfB","0","149","245","102","0","4","0","0","73","149","0","1","54","6","0","26","0","0","0","11","0","0","0","22"
"Coagulase","coa","0","8","28","23","0","0","0","0","25","31","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin1","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"Exotoxin","exotoxin10","0","0","8","2","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin11","0","4","2","0","0","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin12","0","2","0","3","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin13","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin2","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin3","0","0","0","0","0","0","0","0","4","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin4","0","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin5","0","6","30","24","0","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin6","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin7","0","2","0","0","0","0","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin8","0","0","0","0","0","0","0","0","12","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","exotoxin9","0","2","2","0","0","0","0","0","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exotoxin","set7","0","4","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fibronectin binding protein","fnbA","0","86","54","71","0","0","0","0","93","121","0","0","8","0","0","0","0","0","0","0","0","0","0","2"
"Fibronectin binding protein","fnbB","0","55","33","36","0","0","0","0","51","93","0","0","6","4","0","0","0","0","0","0","0","0","0","0"
"Hemolysin genes","hla","0","51","13","19","0","0","0","0","6","6","0","0","3","0","2","0","0","0","0","2","4","0","0","0"
"Hemolysin genes","hlb","0","3","0","2","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","10","0","0","0","0"
"Hemolysin genes","hld","0","116","63","36","0","0","0","0","4","48","0","0","8","1","0","1","0","0","0","10","14","0","0","2"
"Hemolysin genes","hlgA","0","2","3","5","0","0","0","0","18","2","0","0","0","0","2","0","0","2","0","2","4","0","0","0"
"Hemolysin genes","hlgB","0","102","28","17","0","0","0","0","10","27","0","0","2","0","0","0","0","0","0","4","0","0","0","0"
"Hemolysin genes","hlgC","0","36","21","8","0","0","0","0","8","33","0","0","2","0","2","0","0","0","0","2","4","0","0","0"
"Intracellular adhesion","icaA","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"Leukocidin","lukD","0","7","6","4","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Leukocidin","lukE","0","11","2","2","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","2","0","0","0","2"
"Panton-Valentine leukocidin","LukF","0","102","28","17","0","0","0","0","10","27","0","0","2","0","0","0","0","0","0","4","0","0","0","0"
"Panton-Valentine leukocidin","LukS","0","36","21","8","0","0","0","0","8","33","0","0","2","0","2","0","0","0","0","2","4","0","0","0"
"Staphylococcal enterotoxins","sek","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Protein A","spa","0","2","2","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"housekeeping","aroE","0","12","12","2","0","0","0","0","8","8","0","0","3","0","0","8","0","0","0","0","4","0","0","0"
"housekeeping","glpF","0","0","6","0","0","0","0","0","8","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"housekeeping","gmk","0","12","14","7","0","0","0","0","4","32","0","0","4","0","0","0","0","0","0","4","0","0","0","2"
"housekeeping","pta","0","22","21","10","0","0","0","0","10","17","0","0","2","1","0","2","0","0","0","0","0","0","0","0"
"housekeeping","tpi","0","31","20","16","0","0","0","0","15","22","0","0","13","0","0","1","0","0","0","14","6","0","0","2"
"housekeeping","yqil","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"other","ear","0","45","24","12","0","0","0","0","10","18","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"other","lpl10","0","1","4","0","0","0","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"other","pbp2","0","244","98","106","0","0","0","0","24","152","0","0","30","9","0","6","0","2","0","6","0","0","0","2"
"other","pbp2a","0","31","6","0","0","0","0","0","32","17","0","0","2","0","0","14","0","0","0","0","0","0","0","2"
"other","set16","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"psms","psma1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"psms","psma2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"psms","psma3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"psms","psma4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
